# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        V        u        v        b        y     Hb_w     Hb_n
 295     6500  5.00   -0.045   -1.522   -0.787   -0.343   -0.027   -0.175    2.911
 296     6750  0.50    0.108   -2.343   -0.320   -0.042    0.123    0.077    3.138
 297     6750  1.00    0.097   -2.262   -0.354   -0.063    0.113    0.052    3.102
 298     6750  1.50    0.088   -2.156   -0.413   -0.094    0.104    0.025    3.072
 299     6750  2.00    0.073   -2.044   -0.468   -0.128    0.090   -0.004    3.042
 300     6750  2.50    0.054   -1.930   -0.516   -0.163    0.071   -0.035    3.010
 301     6750  3.00    0.032   -1.820   -0.563   -0.198    0.049   -0.067    2.981
 302     6750  3.50    0.009   -1.715   -0.608   -0.233    0.026   -0.098    2.955
 303     6750  4.00   -0.012   -1.619   -0.651   -0.265    0.005   -0.125    2.932
 304     6750  4.50   -0.030   -1.533   -0.689   -0.293   -0.013   -0.148    2.915
 305     6750  5.00   -0.043   -1.462   -0.721   -0.313   -0.025   -0.164    2.905
